ref	txt
BERAKOTH_chapter_1_0	"From what time in the evening may the Shema be recited? From the time when the priests enter [the Temple] to eat of their Heave-offering until the end of the first watch. So R. Eliezer. But the Sages say: Until midnight. Rabban Gamaliel says: Until the rise of dawn. His sons once returned [after midnight] from a wedding feast. They said to him, We have not recited the Shema. He said to them, If the dawn has not risen ye are [still] bound to recite it. Moreover, wheresoever the Sages prescribe Until midnight the duty of fulfilment lasts until the rise of dawn. The duty of burning the fat pieces and the members [of the animal offerings] lasts until the rise of dawn; and for all [offerings] that must be consumed the same day, the duty lasts until the rise of dawn. Why then have the Sages said: Until midnight? To keep a man far from transgression."
BERAKOTH_chapter_1_1	"From what time in the morning may the Shema be recited? So soon as one can distinguish between blue and white. R. Eliezer says: Between blue and green. And it should be finished before sunrise. R. Joshua says: Before the third hour: for so is it the way of kings, to rise up at the third hour. He that recites it from that time onward suffers no loss and is like to one that reads in the Law."
BERAKOTH_chapter_1_2	"The School of Shammai say: In the evening all should recline when they recite [the Shema], but in the morning they should stand up, for it is written, And when thou liest down and when thou risest up. But the School of Hillel say: They may recite it every one in his own way, for it is written, And when thou walkest by the way. Why then is it written, And when thou liest down and when thou risest up? [It means] the time when men usually lie down and the time when men usually rise up. R. Tarfon said: I was once on a journey and I reclined to recite [the Shema] in accordance with the words of the School of Shammai, and so put myself in jeopardy by reason of robbers. They said to him: Thou hadst deserved aught that befell thee in that thou didst transgress the words of the School of Hillel."
BERAKOTH_chapter_1_3	"In the morning two Benedictions are said before [the Shema] and one after; and in the evening two Benedictions are said before and two after, the one long and the other short. Where the long is prescribed the short is not permissible; where the short is prescribed the long is not permissible. [Where it is prescribed] to seal [a Benediction] it is not permissible not to seal; and [where it is prescribed] not to seal, it is not permissible to seal."
BERAKOTH_chapter_1_4	"The going forth from Egypt is rehearsed [also] at night. R. Eleazar b. Azariah said: Lo, I am like to one that is seventy years old yet failed to prove why the going forth from Egypt should be rehearsed at night until Ben Zoma thus expounded it: It is written, That thou mayest remember the day when thou camest forth out of the land of Egypt all the days of thy life. The days of thy life [would mean] the days only; but all the days of thy life [means] the nights also. The Sages say: The days of thy life [means] this world only, but all the days of thy life is to include the Days of the Messiah."
BERAKOTH_chapter_1_5	"If a man was reading [the verses of the Shema] in the Law and the time came to recite the Shema, if he directed his heart he has fulfilled his obligation; otherwise he has not fulfilled his obligation. Between the sections he may salute a man out of respect and return a greeting; but in the middle [of a section] he may salute a man [only] out of fear of him, and return a greeting. So R. Meir. R. Judah says: In the middle he may salute a man out of fear of him and return a greeting out of respect; between the sections he may salute a man out of respect and return the greeting of any man."
BERAKOTH_chapter_1_6	"By between the sections is meant: between the first Benediction and the second; between the second Benediction and Hear, O Israel…; between Hear, O Israel… and It shall come to pass if ye shall hearken; between It shall come to pass if ye shall hearken and And the Lord spake unto Moses; between And the Lord spake unto Moses and True and firm… R. Judah says: There may be no break between And the Lord spake unto Moses and True and firm … R. Joshua b. Karha said: Why does the section Hear, O Israel precede And it shall come to pass if ye shall hearken?—so that a man may first take upon him the yoke of the kingdom of heaven and afterward take upon him the yoke of the commandments. [And why does the section] And it shall come to pass if ye shall hearken precede And the Lord spake unto Moses? Because And it shall come to pass if ye shall hearken applies both by day and by night, but And the Lord spake unto Moses applies by day only."
BERAKOTH_chapter_1_7	"If a man recited the Shema but not loudly enough for himself to hear, he has fulfilled his obligation. R. Jose says: He has not fulfilled it. If he recited it without clearly pronouncing the letters, R. Jose says: He has fulfilled his obligation. R. Judah says: He has not fulfilled it. If a man recited [the sections] in wrong order, he has not fulfilled his obligation. If he recited it and fell into error he should go back to where he fell into error."
BERAKOTH_chapter_1_8	"Craftsmen may recite the Shema on the top of a tree or on top of a course of stones, which they may not do when they say the Tefillah."
BERAKOTH_chapter_1_9	"A bridegroom is exempt from reciting the Shema on the first night, or until the close of the [next] Sabbath if he has not consummated the marriage. Once when Rabban Gamaliel married he recited the Shema on the first night. His disciples said to him, Master, didst thou not teach us that a bridegroom is exempt from reciting the Shema on the first night? He said to them, I will not hearken to you to cast off from myself the yoke of the kingdom of heaven even for a moment."
BERAKOTH_chapter_2_0	"He washed himself the first night of his wifes death. His disciples said to him, Master, didst thou not teach us that a mourner is forbidden to wash himself? He replied, I am not like other men: I am infirm."
BERAKOTH_chapter_2_1	"And when his slave Tabi died he accepted condolence because of him. They said to him, Master, didst thou not teach us that men may not accept condolence because of slaves? He replied, My slave Tabi was not like other slaves: he was a worthy man."
BERAKOTH_chapter_2_2	If a bridegroom is minded to recite the Shema on the first night he may recite it. Rabban Simeon b. Gamaliel says: Not every one that is minded to assume the name may assume it.
